pr,skip,identifiers,comment,vin
,country-uk,,2020 Ford Fiesta ST,WF0FXXGAHFLR58008
,,,2020 Ford Edge SE,2FMPK3G93LBA30641
,country-uk,,2019 Ford Fiesta ST,WF0JXXGAHJKE59273
,country-uk,,2021 Ford Galaxy Titanium,WF0KXXWPCKMM78407
,country-uk,,2019 Ford Fiesta ST,WF0JXXGAHJKY03870
,country-uk,,2019 Ford Fiesta Titanium,WF0JXXGAHJKT44246
,country-uk,,2019 Ford Mondeo Titanium,WF0FXXWPCFKD68012
,country-uk,,2020 Ford Fiesta ST,WF0FXXGAHFKU04915
,country-uk,,2019 Ford Ecosport S,WF01XXERK1KS56417
,country-uk,,2021 Ford Puma ST,WF02XXERK2MD10984
,country-uk,,2023 Ford Puma ST-Line,WF02XXERK2PC55110
,country-uk,,2019 Ford Fiesta Zetec,WF0JXXGAHJKC79086
,country-uk,,2021 Ford Puma ST,WF02XXERK2LY08920
,country-uk,,2021 Ford Fiesta Active,WF0JXXGAHJMP53295
,country-uk,,2020 Ford Focus Titanium,WF0NXXGCHNLC81625
,country-uk,,2019 Ford Kuga Titanium,WF0AXXWPMAKD66381
,country-uk,,2019 Ford Kuga Titanium,WF0AXXWPMAKK30748
,country-uk,,2019 Ford Ecosport Titanium,WF01XXERK1KJ74444
,country-uk,,2019 Ford Ecosport Zetec,WF01XXERK1KY45646
,country-uk,,2020 Ford Focus Active,WF0NXXGCHNKP87040
,country-uk,,2019 Ford Fiesta Titanium,WF0JXXGAHJKJ49837
,country-uk,,2019 Ford Fiesta ST,WF0JXXGAHJKJ69593
,country-uk,,2021 Ford Mustang Mach-E,WF0TR1R71MMA35735
,country-uk,,2019 Ford Fiesta ST,WF0FXXGAHFKJ59602
,country-uk,,2022 Ford Puma ST-Line,WF02XXERK2NP76811
,country-uk,,2019 Ford Ecosport Titanium,WF01XXERK1KY44216
,country-uk,,2019 Ford Fiesta Zetec,WF0JXXGAHJKC64997
,country-uk,,2020 Ford Fiesta Active,WF0JXXGAHJKD28140
,country-uk,,2019 Ford Kuga ST-Line,WF0AXXWPMAKD53099
,country-uk,,2019 Ford Focus ST-Line,WF0NXXGCHNKE18373
,country-uk,,2019 Ford Fiesta Active,WF0JXXGAHJKY06013
,country-uk,,2023 Ford Fiesta Titanium,WF0JXXGAHJPE39842
,country-uk,,2019 Ford Focus ST,WF0NXXGCHNKU46425
,,,2018 Ford Edge SE,2FMPK4G92JBB31009
,,,2018 Ford Edge SE,2FMPK3G90JBB51530
,,,2018 Ford Edge SE,2FMPK3G94JBB10463
,,,2023 Ford Edge SE,2FMPK4G93PBA39903
,,,2021 Ford Edge SE,2FMPK3G92MBA12276
,,,2022 Ford Edge SE,2FMPK4G9XNBA97732
,,,2022 Ford Edge SE,2FMPK4G99NBA70988
,,,2020 Ford Edge SE,2FMPK3G98LBB09268
,,,2019 Ford Edge SE,2FMPK3G95KBB68227
,,,2020 Ford Edge SE,2FMPK4G94LBA09996
,,,2022 Ford Edge SE,2FMPK4G91NBA17878
,,,2018 Ford Edge SE,2FMPK4G94JBB96010
,,,2021 Ford Edge SE,2FMPK3G90MBA65137
,,,2021 Ford Edge SE,2FMPK4G92MBA20044
,,,2018 Ford Edge SE,2FMPK3G97JBB59141
,,,2022 Ford Edge SE,2FMPK4G91NBB17768
,,,2020 Ford Edge SE,2FMPK4G90LBA42770
,,,2021 Ford Edge SE,2FMPK3G9XMBA15085
,,,2019 Ford Edge SE,2FMPK3G99KBC24038
,,,2023 Ford Edge SE,2FMPK4G92PBA17200
,,,2018 Ford Edge SE,2FMPK3G93JBB36097
